263725	Me Without You	2001	107	Drama	[295484, 931329, 428025, 691600]	[325128]	7.0	4060
263728	Megiddo: The Omega Code 2	2001	104	Action,Adventure,Fantasy	[1868, 299, 538654, 801838]	[872062]	4.1	2366
263757	Uptown Girls	2003	92	Comedy,Drama,Romance	[5261, 266824, 181, 817980]	[945026]	6.1	31606
2098782	Pilla Zamindar	2011	148	Comedy,Drama	[3761004, 1728487, 3766840, 3559559]	[4750968]	7.8	1887
1922679	Open Road	2013	85	Action,Drama,Thriller	[4741, 412, 1148573, 496]	[305362]	5.5	1538
2885364	Willow Creek	2013	80	Horror,Mystery,Thriller	[1773268, 424684, 6156090, 802425]	[1281]	5.1	8681
349825	Miracle	2004	135	Biography,Drama,History	[621, 165101, 922263, 1187]	[640334]	7.5	40686
1836808	Great Expectations	2012	128	Drama,Romance	[4715378, 146, 2076, 1020089]	[1565]	6.4	10845
2361184	Tapped Out	2014	105	Action,Drama,Sport	[299, 3922475, 3170830, 2303111]	[3268280]	5.4	1918
1836912	Shaitan	2011	121	Action,Crime,Drama	[3202701, 3109407, 3761132, 3901368]	[2349060]	7.3	6905
1836944	The Baytown Outlaws	2012	98	Action,Comedy,Crime	[671, 519456, 1032473, 186728]	[2030556]	6.4	12285
1836987	Trishna	2011	117	Drama	[2951768, 1981893, 890622, 1390115]	[935863]	6.0	2723
264150	View from the Top	2003	87	Comedy,Romance	[569, 775, 593, 749263]	[853]	5.2	23009
2885628	Nina Forever	2015	98	Comedy,Horror,Romance	[1152495, 4092854, 642605, 2029819]	[2050760, 2052113]	5.6	3618
2623502	Getting Go, the Go Doc Project	2013	91	Drama,Romance	[2409783, 3849461, 4709176, 2676018]	[1450397]	7.1	2080
3672120	Pottersville	2017	84	Comedy	[788335, 339460, 579, 376716]	[377623]	5.2	1863
4720702	Bushwick	2017	94	Action,Adventure	[1176985, 811242, 2111303, 3594330]	[5722382, 5732579]	5.2	5678
1050739	Roadside Romeo	2008	93	Adventure,Animation,Comedy	[451307, 4626, 412917, 386358]	[361407]	5.3	1044
264323	2001 Maniacs	2005	87	Comedy,Horror	[387, 5417, 4709, 1152653]	[838374]	5.4	10997
264333	The Abduction Club	2002	96	Action,Adventure,Comedy	[262521, 487406, 617009, 722629]	[777447]	6.7	1581
2361509	The Intern	2015	121	Comedy,Drama	[134, 4266, 623, 2981082]	[583600]	7.1	176841
264395	Basic	2003	98	Action,Crime,Drama	[237, 168, 1567, 4857]	[1532]	6.5	53940
264429	Black Mask 2: City of Masks	2002	102	Action,Drama,Sci-Fi	[648499, 68551, 689237, 380522]	[7139]	3.6	1530
218839	Best in Show	2000	90	Comedy	[929609, 506405, 1573, 177639]	[1302]	7.5	49440
264464	Catch Me If You Can	2002	141	Biography,Crime,Drama	[138, 158, 686, 640]	[229]	8.1	653050
264472	Changing Lanes	2002	98	Drama,Thriller	[255, 168, 823940, 1057]	[585011]	6.5	61580
264508	Dagon	2001	95	Fantasy,Horror,Mystery	[323859, 704719, 581145, 1296762]	[2340]	6.3	14140
1313092	Animal Kingdom	2010	113	Crime,Drama	[3306943, 1602, 249291, 3819777]	[2391575]	7.3	49657
1313113	The Firm	2009	90	Drama	[2167957, 1719329, 990547, 20464]	[522393]	5.8	4952
2099556	Antiviral	2012	108	Horror,Sci-Fi,Thriller	[2655177, 2484864, 300589, 532]	[188722]	5.7	10518
1313139	The Oranges	2011	90	Comedy,Drama,Romance	[1015262, 491402, 1416, 5049]	[267497]	5.9	11458
2361746	Haraamkhor	2015	90	Drama	[1596350, 4975360, 5090379, 4541970]	[2396167]	6.4	2385
1313244	Hypothermia	2010	73	Horror	[740264, 48273, 2341280, 2684348]	[1319539]	3.9	1305
4196832	Is That a Gun in Your Pocket?	2016	95	Comedy	[1627969, 1432956, 1458, 3031063]	[178251]	5.8	2079
4196848	Mr. Church	2016	104	Comedy,Drama	[552, 1429380, 1523, 1882152]	[915]	7.6	20215
264689	Home Room	2002	133	Crime,Drama	[5311, 159776, 1255, 768620]	[752783]	7.3	3050
1837562	A Royal Night Out	2015	97	Comedy,Drama,Romance	[300589, 2525790, 1833, 391]	[418982]	6.5	7339
1837613	Northern Soul	2014	102	Drama,Music	[176869, 3687902, 866870, 484202]	[4311206]	6.4	3039
264761	Kissing Jessica Stein	2001	97	Comedy,Drama,Romance	[922724, 432013, 271165, 1133509]	[379237]	6.6	14827
3148348	Let Us Prey	2014	92	Horror,Thriller	[192377, 1717573, 1385922, 3501831]	[1746948]	5.7	7716
1837636	Queen of the Desert	2015	128	Biography,Drama,History	[173, 290556, 507073, 1500155]	[1348]	5.7	6913
264796	Life as a House	2001	125	Drama	[159789, 177, 218, 540441]	[5563]	7.5	40915
2882328	Ugly	2013	128	Crime,Drama,Mystery	[1178211, 747172, 1339267, 1277547]	[440604]	8.1	14463
1575539	Elena Undone	2010	111	Drama,Romance	[2464261, 227867, 917314, 365293]	[174903]	6.3	4364
1837703	The Fifth Estate	2013	128	Biography,Drama,Thriller	[1212722, 117709, 396924, 2539953]	[174374]	6.2	34120
1837709	Winter's Tale	2014	118	Drama,Fantasy,Mystery	[268199, 3726887, 128, 124]	[326040]	6.2	46819
3672742	Turbo Kid	2015	93	Action,Adventure,Comedy	[1089325, 495799, 461, 1249752]	[2379331, 2377436, 2375643]	6.7	21654
3148502	Tamasha	2015	139	Comedy,Drama,Romance	[2138653, 1633541, 592795, 8949091]	[1665004]	7.2	17435
264935	Murder by Numbers	2002	115	Crime,Mystery,Thriller	[113, 1035, 331516, 685856]	[775447]	6.1	47414
218922	Original Sin	2001	116	Drama,Mystery,Romance	[104, 1401, 5048, 860233]	[188165]	6.0	48578
1575694	The Hit List	2011	90	Action,Thriller	[421, 369513, 487405, 2414889]	[442287]	5.4	10841
265010	Girl Fever	2002	98	Comedy,Romance	[232414, 607185, 58814, 598569]	[205157]	5.0	2223
265029	America's Sweethearts	2001	102	Comedy,Romance	[210, 131, 345, 1876]	[5387]	5.7	50623
265086	Black Hawk Down	2001	144	Drama,History,War	[1326, 191, 1744, 51509]	[631]	7.7	323161
265087	Black Knight	2001	95	Adventure,Comedy,Fantasy	[1454, 859720, 929489, 716490]	[432627]	4.8	33868
265104	The Breed	2001	91	Action,Adventure,Horror	[1600, 940158, 499, 357200]	[643422]	4.7	2408
3410834	Allegiant	2016	120	Action,Adventure,Mystery	[940362, 3772243, 1099, 915208]	[777881]	5.7	84143
265116	Chaos	2001	109	Comedy,Crime,Drama	[512071, 296594, 1021224, 719232]	[785684]	7.1	2098
5254868	The Thinning	2016	81	Action,Drama,Horror	[6982686, 2572554, 3096796, 1101127]	[2038422]	5.9	6749
265148	Main Prem Ki Diwani Hoon	2003	197	Comedy,Drama,Musical	[4335, 4626, 45393, 505323]	[54744]	4.0	3524
265171	Elvira's Haunted Hills	2001	90	Comedy,Horror	[5308, 639782, 770462, 40797]	[6787]	5.9	2363
265208	The Girl Next Door	2004	109	Comedy,Drama,Romance	[386472, 236202, 193846, 648249]	[339004]	6.7	183885
4937564	Sex Doll	2016	102	Thriller	[2082567, 7514839, 734039, 5524273]	[894173]	4.4	1163
1966604	The Imposter	2012	99	Biography,Crime,Documentary	[4774039]	[1717925]	7.5	39994
265298	Big Fat Liar	2002	88	Adventure,Comedy,Family	[5260, 4789, 316079, 221902]	[506613]	5.4	31308
265307	The Man from Elysian Fields	2001	106	Drama,Romance	[412, 1396, 523, 931404]	[382584]	6.7	3859
265343	Monsoon Wedding	2001	114	Comedy,Drama,Romance	[787462, 239267, 156858, 704694]	[619762]	7.4	21331
265349	The Mothman Prophecies	2002	119	Drama,Horror,Mystery	[152, 1473, 251678, 870430]	[671210]	6.5	68604
